City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
273,bat khela,32,PK,1525254912,36,34.62,71.97,79.31,2.53
274,acajutla,64,SV,1525254912,90,13.59,-89.83,74.36,2.98
275,komsomolskiy,20,RU,1525254913,92,67.55,63.78,13.61,11.14
276,mayor pablo lagerenza,0,PY,1525254913,77,-19.93,-60.77,75.26,6.78
277,flin flon,88,CA,1525254344,44,54.77,-101.88,39.62,5.88
278,kropotkin,0,RU,1525254603,48,45.43,40.58,77.06,7.67
279,rach gia,8,VN,1525254914,72,10.02,105.08,91.91,3.2
280,toktogul,0,KG,1525254914,80,41.87,72.95,49.61,2.19
281,kuusamo,90,FI,1525252800,55,65.96,29.19,37.4,13.87
282,jablah,0,SY,1525251600,31,35.36,35.93,87.8,11.41
283,indianola,1,US,1525251180,87,40.24,-100.42,48.2,11.41
284,guia de isora,40,ES,1525253400,68,28.21,-16.78,66.2,9.17
285,port moresby,75,PG,1525251600,78,-9.47,147.16,80.6,13.87
286,aranda de duero,56,ES,1525254916,70,41.67,-3.69,45.02,7.11
287,khatanga,36,RU,1525254476,86,71.98,102.47,8.66,14.83
288,kloulklubed,75,PW,1525252440,79,7.04,134.26,84.2,4.7
289,palana,88,RU,1525254917,88,59.08,159.95,28.37,3.65
290,pucallpa,40,PE,1525251600,100,-8.38,-74.54,73.4,2.42
291,ruteng,56,ID,1525254917,93,-8.61,120.46,74.27,3.2
292,pau brasil,88,BR,1525254917,96,-15.46,-39.65,72.38,5.77
293,blackfalds,75,CA,1525251600,74,52.38,-113.8,37.4,3.36
294,chiapilla,56,MX,1525254918,94,16.57,-92.72,62.84,1.97
295,kamloops,75,CA,1525251600,61,50.68,-120.34,48.2,2.24
296,levelland,75,US,1525252560,73,33.59,-102.38,69.8,23.04
297,pisco,56,PE,1525251600,88,-13.71,-76.2,64.4,3.36
298,meulaboh,92,ID,1525254568,100,4.14,96.13,82.64,3.76
299,rawson,20,AR,1525254571,62,-43.3,-65.11,47.54,10.02
